Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,0952e2f0-41f3-471b-9ba4-37c216063a7f,Sun* Annual Awards 2025 Kudos,Check navigation path,Open profile navigation,Click avatar or name,,"User is authenticated, 'Kudos' cards and sidebar are visible",Kudos card showing sender avatar/receiver name; Sidebar displaying Sunner avatar/name,"1. Locate the avatar or name (No.B.3.2/Thông tin người gửi-Name, No.B.3.5/Ảnh đại diện người nhận-Avatar, No.D.3.2/Thông tin Sunner nhận quà) in the Kudos card or sidebar.
2. Click the selected avatar or name.","1. ---
2. The profile page opens for the selected person.",,,Access control and security,,,,
ACCESSING,31693bb7-b22e-4874-9dae-378b2dcd1f9b,Sun* Annual Awards 2025 Kudos,Check navigation path,Kudos detail navigation,Click 'View Details' or content,,"User is authenticated, Highlight/All Kudos/Spotlight section is visible",Kudos card in Highlight section with 'View Details' button; Kudos content in All Kudos; Recipient node in Spotlight board,"1. Locate a Kudos card or node in the Highlight, All Kudos, or Spotlight section.
2. Click the 'View Details' button, Kudos content, or recipient node.","1. ---
2. The Kudos detail page opens for the selected Kudos.",,,Access control and security,,,,
ACCESSING,71b3ef43-7247-48c7-9dde-8d9d4fd1e369,Sun* Annual Awards 2025 Kudos,Check access condition,Authentication required,,,User is unauthenticated but can view Kudos UI,Attempt to click sender/receiver avatar or name on any Kudos post/leaderboard; Attempt to click 'View Details' or content,"1. While signed out, attempt to open any profile or details from the Kudos UI.",1. The system redirects to the login page or displays an authentication prompt.,,,Access control and security,,,,
GUI,40d4ba26-ddc0-4905-981b-fd5705745e6c,Banner KV Kudos,Check layout,Banner section,Visibility and position,,Main event screen loaded,,"1. Observe the banner at the top of the page.
2. Check logo and title display.
3. Attempt to click or hover on the banner area.","1. Banner KV Kudos is visible and positioned at the top.
2. Logo 'SAA 2025 KUDOS' and the title 'Hệ thống ghi nhận lời cảm ơn' are displayed correctly.
3. Banner is not interactive (readonly).",,,User interface,,,,
GUI,0578e8ef-aec5-4772-94ac-154f0009c18c,Ô nhập/Ghi nhận,Check layout,Input field [Ô nhập/Ghi nhận],Visibility and position,,Main screen loaded,,"1. Locate the No.A.1/Ô nhập/Ghi nhận form below the banner.
2. Observe its shape.
3. Verify if the left pencil icon is present.
4. Check that nothing overlaps or obscures the input field.","1. Input field is visible and has a pill shape.
2. The left pencil icon is shown.
3. The field is neither overlapped nor obscured.",,,User interface,,,,
GUI,06b76e80-427c-4876-a676-b43f4e5b7d79,Mục HIGHLIGHT KUDOS,Check layout,Highlight section,"Header, filter, carousel position",,Highlight section displayed,,"1. Locate the header, filters, and carousel in the Highlight section.
2. Check alignment and spacing of the header, subtitle, filters, and carousel.","1. The Highlight header ('Sun* Annual Awards 2025') and subtitle ('HIGHLIGHT KUDOS') are shown.
2. Filter dropdowns for Hashtag (No.B.1.1) and Phòng ban (No.B.1.2) are visible, properly aligned.
3. Carousel is visible, spaced properly, and items do not overlap.",,,User interface,,,,
GUI,b03a3b4e-cbe1-4a70-841c-3752fc05b8b8,Tiêu đề phần 'HIGHLIGHT KUDOS' với bộ lọc,Check layout,Highlight title and filters,Visibility and arrangement,,"Highlight section displayed, filters present",Hashtag (No.B.1.1) and Phòng ban (No.B.1.2) filter buttons,"1. Confirm visibility, position, and alignment of Hashtag and Phòng ban filter buttons.
2. Check active/inactive visual state switches on select and unselect.","1. Hashtag and Phòng ban buttons are visible and aligned.
2. Visual states switch correctly between active and inactive upon selection or deselection.",,,User interface,,,,
GUI,0929bc39-c6eb-4401-a873-544bead3d4f2,Nút lọc 'Hastag',Check layout,Button [Hashtag],Visibility and position,,"Highlight section displayed, hashtags available",,"1. Locate the No.B.1.1/Nút lọc 'Hashtag' button.
2. Verify its visibility and position.
3. Confirm that the button is not overlapped or obscured.","1. 'Hashtag' filter button is displayed and correctly positioned.
2. The button is neither overlapped nor obscured.",,,User interface,,,,
GUI,7b029a3b-0065-42e5-af90-2973ea5e6d9a,Nút 'Phòng ban',Check layout,Button [Phòng ban],Visibility and position,,"Highlight section displayed, departments available",,"1. Locate the No.B.1.2/Nút 'Phòng ban' button.
2. Verify its visibility and position.
3. Confirm that the button is not overlapped or obscured.","1. 'Phòng ban' filter button is displayed and correctly positioned.
2. The button is neither overlapped nor obscured.",,,User interface,,,,
GUI,86092c3a-e230-4741-bcb3-48346c8ac132,Kudos Nổi Bật,Check layout,Highlight carousel,Slide arrows and cards,,Carousel loaded with slides,,"1. Check the total number of slides in the carousel (should be 5).
2. Observe visibility of Prev/Next arrows.
3. Check enabled/disabled states for arrows at start and end.
4. Check visual prominence of the active card and inactivity/fadedness of other cards.","1. Top 5 Kudos cards are displayed in the carousel.
2. Prev/Next arrows are visible: disabled on the 1st and last slide respectively.
3. The active card is visually prominent in the center; inactive cards are faded and non-interactive.",,,User interface,,,,
