"No","itemId","nameJP","nameTrans","itemName","itemType","itemSubtype","buttonType","dataType","required","format","minLength","maxLength","defaultValue","validationNote","description","userAction","transitionNote","databaseTable","databaseColumn","databaseNote","qa","spec_progress"
"A","I1002:12682;1002:12500","Title","Tiêu đề 'Add link'","A_Title","label","","","","false","","","","","","Tiêu đề hiển thị 'Add link' trên đầu hộp dialog.  Function: - Static: Hiển thị tiêu đề, không tương tác","","","","","","","completed"
"B","I1002:12682;1002:12501","Text","Văn bản liên kết","B_Text","text_form","","","string","true","","1","100","","Độ dài 1-100 ký tự Trường bắt buộc Không chỉ gồm khoảng trắng","Trường nhập 'Text' cho văn bản hiển thị của liên kết. Hiển thị:   - Label: 'Text' - nhãn bên trái   - Input box: ô nhập văn bản (672x56px) Chức năng: - Nhập: Kiểm tra độ dài 1-100 ký tự - Empty: Hiển thị lỗi khi để trống","","","","","","","completed"
"B.1","I1002:12682;1002:12502","Title","Nhãn 'Text'","B.1_Title","label","","","","false","","","","","","Nhãn cho ô nhập 'Text' trong modal 'Add link'.  Function: - Hiển thị: Văn bản 'Text' bên trái ô nhập - Click: Click vào nhãn chuyển focus tới ô nhập tương ứng","","","","","","","completed"
"B.2","I1002:12682;1002:12503","Text box","Trường nhập 'Text'","B.2_Text box","text_form","","","string","true","","1","100","","Bắt buộc, không gồm chỉ khoảng trắng","Trường để nhập văn bản hiển thị cho liên kết.  Display:   - Label: 'Text' - nhãn bên trái   - Input box: Text field (610x56px, bo góc, nền trắng, viền mảnh)  Function: - Input: Nhập văn bản hiển thị cho liên kết - Focus: Hiện viền nổi (highlight) khi được focus","","","","","","","completed"
"C","I1002:12682;1002:12652","Liên kết","Trường nhập 'Link'","C_Link","text_form","","","string","true","url","5","2048","","Định dạng URL hợp lệ (http/https) Độ dài 5-2048 ký tự Trường bắt buộc","Trường nhập đường dẫn trong modal 'Add link'. Hiển thị:   - Input box: ô nhập văn bản, kích thước 672x56 px, có viền nhẹ   - Label: 'Link' ở bên trái Function: - Input: Nhập URL - Blur: Kiểm tra định dạng URL và hiển thị lỗi nếu không hợp lệ","","","","","","","completed"
"C.1","I1002:12682;1002:12653","Tiêu đề","Nhãn 'Link'","C.1_Title","label","","","","false","","","","","","Nhãn cho ô nhập liên kết hiển thị 'Link'.  Function: - Display: Hiển thị 'Link' bên trái ô nhập để người dùng biết nhập URL - Interaction: Không tương tác, chỉ để thông tin","","","","","","","completed"
"C.2","I1002:12682;1002:12654","Text box","Trường 'Text' (văn bản liên kết)","C.2_Text box","text_form","","","string","true","","5","2046","","Độ dài 5-2048 ký tự Trường bắt buộc","Trường nhập văn bản cho liên kết trong hộp 'Add link'. Hiển thị:   - Label: 'Text'   - Input box: 609x56 px Chức năng: - Input: Nhập văn bản hiển thị cho liên kết - Lưu: Nếu trống hoặc >2048 ký tự, báo lỗi và không lưu","","","","","","","completed"
"D","I1002:12682;1002:12543","Button","Nút 'Hủy' và 'Lưu'","D_Button","others","button_group","","","false","","","","","","Nhóm nút trong modal 'Add link' để hủy hoặc lưu liên kết.  Hiển thị:   - 'Hủy': nút nhỏ, viền, icon 'X'   - 'Lưu': nút lớn, nền vàng, icon 'link'  Chức năng: - Click 'Hủy': Đóng modal - Click 'Lưu': Validate các trường; nếu hợp lệ lưu và đóng; nếu lỗi hiển thị thông báo","","","","","","","completed"
"D.1","I1002:12682;1002:12544","Button Huỷ","Nút 'Hủy'","D.1_Button Huỷ","button","","icon_text","","false","","","","","","Nút 'Hủy' đóng hộp 'Add link' không lưu thay đổi.  Function: - Click: Đóng modal và hủy thay đổi","","","","","","","completed"
"D.2","I1002:12682;1002:12545","Button Lưu","Nút 'Lưu'","D.2_Button Lưu","button","","icon_text","","false","","","","","","Nút 'Lưu' có icon liên kết để lưu đường dẫn vừa nhập.  Function: - Click: Kiểm tra và lưu link; nếu thành công đóng modal, nếu lỗi hiển thị thông báo.","","","","","","","completed"
