"No","itemId","nameJP","nameTrans","itemName","itemType","itemSubtype","buttonType","dataType","required","format","minLength","maxLength","defaultValue","validationNote","description","userAction","transitionNote","databaseTable","databaseColumn","databaseNote","qa","spec_progress"
"A","I520:11647;520:9870","Gửi lời cám ơn và ghi nhận đến đồng đội","Tiêu đề modal gửi lời cảm ơn","mms_A_Gửi lời cám ơn và ghi nhận đến đồng đội","label","","","","false","","","","","","Tiêu đề modal 'Gửi lời cám ơn và ghi nhận đến đồng đội'.  Function: - Hiển thị: Văn bản tiêu đề ở đầu modal, lớn và canh giữa, không tương tác.","","","","","","","completed"
"B","I520:11647;520:9871","Recipient Selector","Chọn người nhận Kudo","mms_B_Chọn người nhận","others","form_field","","","","","","","","","Section to select the Kudo recipient.  Display:   - Title: 'Người nhận' with required asterisk (*) - bold 22px   - Search input: text field with placeholder 'Tìm kiếm' and dropdown arrow icon   - Input style: white border (#998C5F), 8px border-radius, 56px height   - Layout: title (left) + search input (right, flex-grow)  Function: - Click search input: open dropdown/autocomplete list of Sunners - Type to search: filter list by name - Select user: populate field with selected user's name/avatar - Required field: form cannot submit without a recipient - Validation: must select a valid existing Sunner","","","","","","","completed"
"B.1","I520:11647;520:9872","Title","Nhãn 'Người nhận'","mms_B.1_Title","label","","","","false","","","","","","Nhãn cho 'Người nhận' (bắt buộc). Hiển thị: '*', 'Người nhận'. Chức năng: chỉ ra trường required.","","","","","","","completed"
"B.2","I520:11647;520:9873","search","Trường tìm kiếm người nhận","mms_B.2_Search","text_form","","","string","true","","","","","Trường bắt buộc Chọn người nhận từ danh sách (autocomplete) Tối thiểu 1 ký tự","Trường tìm và chọn 'Người nhận' trong form kudo.  Display:   - Input box: Text field với placeholder 'Tìm kiếm' (514x56px)   - Icon: Dropdown/IC ở bên phải để mở danh sách chọn  Function: - Input: Gợi ý/lọc kết quả theo ký tự (autocomplete) - Select: Click một mục để điền người nhận - Error: Khi rỗng hiển thị viền đỏ và thông báo","","","","","","","completed"
"C","I520:11647;520:9877","Chức năng","Trường chọn 'Người nhận'","mms_C_Chức năng","text_form","","","string","true","","","","","","Các chức năng hỗ trợ format text trong phần nhập liệu, bao gồm Bold, Italic, Stroke, Number, Link, Quote","","","","","","","completed"
"C.1","I520:11647;520:9881","bold","Nút in đậm","mms_C.1_bold","button","","toggle","","false","","","","","","Nút 'B' bật/tắt in đậm trong ô soạn thảo.  Function: - Click: Áp dụng hoặc loại bỏ định dạng in đậm cho văn bản được chọn hoặc cho nội dung mới","","","","","","","completed"
"C.2","I520:11647;662:11119","italic","Nút in nghiêng","mms_C.2_italic","button","","icon_text","","false","","","","","","Nút 'I' bật/tắt in nghiêng trong ô soạn thảo.  Function: - Click: Áp dụng hoặc loại bỏ định dạng in nghiêng cho văn bản được chọn hoặc cho nội dung mới","","","","","","","completed"
"C.3","I520:11647;662:11213","Stroke","Thanh trang trí (stroke)","mms_C.3_Stroke","others","decorative","","","false","","","","","","Nút 'S' bật/tắt gạch ngang trong ô soạn thảo.  Function: - Click: Áp dụng hoặc loại bỏ định dạng gạch ngang cho văn bản được chọn hoặc cho nội dung mới","","","","","","","completed"
"C.4","I520:11647;662:10376","number","Thẻ số","mms_C.4_number","button","","icon_text","","false","","","","","","Nút bật/tắt đánh số trong ô soạn thảo.  Function: - Click: Áp dụng hoặc loại bỏ định dạng đánh số cho văn bản được chọn hoặc cho nội dung mới","","","","","","","completed"
"C.5","I520:11647;662:10507","link","Biểu tượng chèn liên kết","mms_C.5_link","button","","icon_text","","false","","","","","","Biểu tượng trong thanh công cụ soạn thảo dùng để chèn hoặc chỉnh sửa liên kết.  Function: - Click: Mở hộp thoại nhập URL và tùy chọn mở trong tab mới, sau đó chèn liên kết vào vùng văn bản","","","","","","","completed"
"C.6","I520:11647;662:10647","quote","Nút trích dẫn","mms_C.6_quote","button","","icon_text","","false","","","","","","Nút chèn trích dẫn cho editor.  Function: - Click: Bật/tắt định dạng trích dẫn cho đoạn chọn","","","","","","","completed"
"D","I520:11647;520:9886","text filed","Trường nhập văn bản (textarea lời cảm ơn)","mms_D_text filed","text_form","","","string","true","","","","","Cho phép '@' + tên để nhắc đồng nghiệp Bắt buộc","Trường textarea để nhập lời cảm ơn trong modal.  Display:   - Toolbar: nút định dạng (B, I, link, quote, list)   - Textarea: placeholder 'Hãy gửi gắm lời cám ơn và ghi nhận đến đồng đội tại đây nhé!'  Function: - Lưu nội dung lời cảm ơn - '@'+tên: gợi ý để nhắc đồng nghiệp","","","","","","","completed"
"D.1","I520:11647;520:9887","Gợi ý và bộ đếm ký tự","Gợi ý và bộ đếm ký tự","mms_D.1_Gợi ý","label","","","","false","","","","","","Hiển thị hướng dẫn và bộ đếm ký tự dưới ô soạn thảo.  Display:   - Gợi ý: Text nhỏ - 'Bạn có thể “@ + tên” để nhắc tới đồng nghiệp khác'  Function: - Hiển thị: Luôn hiển thị dưới textarea","","","","","","","completed"
"E","I520:11647;520:9890","Frame 536","Trường Hashtag","mms_E_Frame 536","text_form","","","string","true","","","","","Tối thiểu 1 tag. Tối đa 5 hashtag Trường bắt buộc","Trường chọn 'Hashtag' bắt buộc.  Display:   - Label: 'Hashtag' (*)   - Button: '+ Hashtag'   - Note: 'Tối đa 5'   - Chips: hashtag đã thêm  Function: - Click '+ Hashtag': mở dropdown để thêm - Nhập: tạo chip - Click 'x' trên chip: xóa - Validation: tối đa 5, không được để trống","","","","","","","completed"
