"No","itemId","nameJP","nameTrans","itemName","itemType","itemSubtype","buttonType","dataType","required","format","minLength","maxLength","defaultValue","validationNote","description","userAction","transitionNote","databaseTable","databaseColumn","databaseNote","qa","spec_progress"
"A","1002:13185","ハッシュタグ選択済み行1","Selected Hashtag Row 1","mms_A_Hashtag đã chọn 1","others","list_item","","","false","","","","","","Mục đích và Ngữ cảnh: Hàng danh sách trong dropdown hiển thị hashtag ở trạng thái đã chọn; là một trong tối đa 5 lựa chọn của người dùng. Thành phần hiển thị: Văn bản '#High-perorming' bên trái (A.1); icon dấu check trong vòng tròn bên phải (A.2); nền tối biểu thị trạng thái selected. Chức năng & Logic: Click toggle chọn/bỏ chọn hashtag; khi bỏ chọn icon check ẩn và nền chuyển sáng; hover làm nổi bật nền; cấu trúc giống hệt B và C.","on_click","Toggle trạng thái chọn/bỏ chọn; dấu check hiện/ẩn; nền tối ↔ sáng; hover làm nổi nền nhẹ","","","","","completed"
"A.1","1002:13188","ハッシュタグテキストラベル","Hashtag Text Label","mms_A.1_Hashtag","label","","","","","","","","","Condition: Số hashtag đã chọn >= 5 Error: Không cho phép chọn thêm hashtag mới (disable các mục chưa chọn)","Mục đích và Ngữ cảnh: Nhãn văn bản hiển thị tên hashtag với tiền tố '#' trong hàng danh sách dropdown; dữ liệu hashtag được load dynamic từ DB. Thành phần hiển thị: Ký tự '#' + tên hashtag từ DB (ví dụ: '#High-perorming'); style khác nhau giữa selected và unselected. Chức năng & Logic: Click để toggle chọn/bỏ chọn; khi tổng số lựa chọn đạt 5 thì các nhãn chưa chọn bị disable; danh sách hashtag được lấy dynamic từ database.","on_click","Toggle chọn/bỏ chọn hashtag; disable các mục chưa chọn khi tổng đạt 5","","","","","completed"
"A.2","1002:13204","選択済みチェックアイコン","Selected State Check Icon","mms_A.2_icon đã chọn","others","icon","","boolean","false","","","","","","Mục đích và Ngữ cảnh: Icon dấu check biểu thị trạng thái đã chọn của mục hashtag trong dropdown; ẩn khi unselected để giữ layout ổn định. Thành phần hiển thị: Vòng tròn 24x24px chứa dấu '✓' khi selected; khoảng trống 24x24px (không có icon) khi unselected. Chức năng & Logic: Click toggle trạng thái chọn/bỏ chọn của hàng tương ứng; hiển thị/ẩn dấu check phản ánh trạng thái tức thời.","on_click","Click toggle: hiển thị dấu '✓' trong vòng tròn (selected) hoặc ẩn giữ khoảng trống 24x24px (unselected)","","","","","completed"
"B","1002:13207","ハッシュタグ選択済み行2","Selected Hashtag Row 2","mms_B_Hashtag đã chọn 2","others","list_item","","","false","","","","","","Mục đích và Ngữ cảnh: Hàng danh sách thứ hai trong dropdown hiển thị hashtag đã chọn; cấu trúc và tương tác giống hệt Item A. Thành phần hiển thị: Văn bản '#BE PROFESSIONAL' bên trái (B.1); icon dấu check trong vòng tròn bên phải (B.2); nền tối. Chức năng & Logic: Giống hệt Item A — click toggle; hover highlight; bỏ chọn làm ẩn check và chuyển nền sáng.","on_click","Toggle trạng thái chọn/bỏ chọn; dấu check hiện/ẩn; nền tối ↔ sáng; hover làm nổi nền nhẹ","","","","","completed"
"B.1","1002:13210","ハッシュタグテキストラベル2","Hashtag Text Label 2","mms_B.1_Hashtag","others","list_item","","string","false","","","","","Condition: Số hashtag đã chọn >= 5 Error: Không cho phép chọn thêm (disable)","Mục đích và Ngữ cảnh: Nhãn văn bản '#BE PROFESSIONAL' trong hàng B; cấu trúc và logic giống A.1. Thành phần hiển thị: '#BE PROFESSIONAL' với định dạng '#' + tên hashtag. Chức năng & Logic: Giống hệt A.1 — click toggle; disable khi đủ 5 lựa chọn.","on_click","Toggle chọn/bỏ chọn; disable khi đủ 5","","","","","completed"
"B.2","1002:13214","選択済みチェックアイコン2","Selected State Check Icon 2","mms_B.2_icon đã chọn","others","icon","","boolean","false","","","","","","Mục đích và Ngữ cảnh: Icon check trạng thái đã chọn cho hàng B; cấu trúc và logic giống hệt A.2. Thành phần hiển thị: Vòng tròn 24x24px với '✓' (selected) hoặc khoảng trống (unselected). Chức năng & Logic: Giống hệt A.2 — click toggle; hiển thị/ẩn check.","on_click","Giống A.2 — hiển thị/ẩn dấu check khi toggle","","","","","completed"
"C","1002:13216","ハッシュタグ選択済み行3","Selected Hashtag Row 3","mms_C_Hashtag đã chọn 3","others","list_item","","","false","","","","","","Mục đích và Ngữ cảnh: Hàng danh sách thứ ba trong dropdown hiển thị hashtag đã chọn; cấu trúc và tương tác giống hệt Item A. Thành phần hiển thị: Văn bản '#BE OPTIMISTIC' bên trái (C.1); icon dấu check trong vòng tròn bên phải (C.2); nền tối. Chức năng & Logic: Giống hệt Item A — click toggle; hover highlight; bỏ chọn làm ẩn check và chuyển nền sáng.","on_click","Toggle trạng thái chọn/bỏ chọn; dấu check hiện/ẩn; nền tối ↔ sáng; hover làm nổi nền nhẹ","","","","","completed"
"C.1","1002:13219","ハッシュタグテキストラベル3","Hashtag Text Label 3","mms_C.1_Hashtag","others","list_item","","string","false","","","","","Condition: Số hashtag đã chọn >= 5 Error: Không cho phép chọn thêm (disable)","Mục đích và Ngữ cảnh: Nhãn văn bản '#BE OPTIMISTIC' trong hàng C; cấu trúc và logic giống A.1. Thành phần hiển thị: '#BE OPTIMISTIC' với định dạng '#' + tên hashtag. Chức năng & Logic: Giống hệt A.1 — click toggle; disable khi đủ 5 lựa chọn.","on_click","Toggle chọn/bỏ chọn; disable khi đủ 5","","","","","completed"
"C.2","1002:13223","選択済みチェックアイコン3","Selected State Check Icon 3","mms_C.2_icon đã chọn","others","icon","","boolean","false","","","","","","Mục đích và Ngữ cảnh: Icon check trạng thái đã chọn cho hàng C; cấu trúc và logic giống hệt A.2 và B.2. Thành phần hiển thị: Vòng tròn 24x24px với '✓' (selected) hoặc khoảng trống (unselected). Chức năng & Logic: Giống hệt A.2 — click toggle; hiển thị/ẩn check.","on_click","Giống A.2 — hiển thị/ẩn dấu check khi toggle","","","","","completed"
"D","1002:13104","ハッシュタグ未選択行","Unselected Hashtag Row","mms_D_Hashtag chưa chọn","others","list_item","","","false","","","","","Condition: Số hashtag đã chọn >= 5 Error: Item bị disable — không phản hồi click","Mục đích và Ngữ cảnh: Hàng danh sách hiển thị hashtag chưa được chọn (unselected state); đại diện cho tất cả mục chưa chọn trong danh sách. Thành phần hiển thị: Văn bản '#Be A Team' bên trái (và các hashtag khác: #THINK OUTSIDE THE BOX; #GET RISKY; #GO FAST; #WASSHOI); không hiển thị icon check; nền sáng. Chức năng & Logic: Click để chọn hashtag — row chuyển sang selected state (nền tối; icon check xuất hiện); hover làm nổi bật nền nhẹ; khi tổng số lựa chọn = 5 thì row bị disable.","on_click","Click chọn hashtag — icon check xuất hiện; nền chuyển tối; hover làm nổi nền nhẹ; bị disable khi đủ 5 lựa chọn","","","","","completed"
