"No","itemId","nameJP","nameTrans","itemName","itemType","itemSubtype","buttonType","dataType","required","format","minLength","maxLength","defaultValue","validationNote","description","userAction","transitionNote","databaseTable","databaseColumn","databaseNote","qa","spec_progress"
"3","313:8437","キービジュアル","Key Visual Banner","Keyvisual","others","hero_banner","","","","","","","","","Hero banner displaying campaign artwork and title. Shows background image (1200x871px; cover; center-crop); title 'ROOT FURTHER'; subtitle 'Sun* Annual Award 2025'; logo and top-corner icons. Decorative only — no click behavior. Responsive: scale to cover and center-crop. Accessibility: alt text 'Keyvisual Sun* Annual Award 2025'.","","","","","","","completed"
"3.2","313:8466","","Danh sách nội dung giải thưởng","mms_D.Danh sách giải thưởng","","","","","","","","","","","","","","","","","","completed"
"7.4","","","","","","","","","","","","","","","","","","","","","","completed"
"A","313:8453","賞制度タイトル","Award System Section Title","Title hệ thống giải thưởng","label","","","","","","","","","","Static section title. Displays subtitle 'Sun* annual awards 2025' (small; muted text) and main heading 'Hệ thống giải thưởng SAA 2025' (large; gold). Not interactive.","","","","","","","completed"
"B","313:8458","賞制度セクション","Award System Section","Hệ thống giải thưởng","others","info_block","","","","","","","","","Parent container listing all SAA 2025 award categories. Contains left navigation panel (C) and award cards (D.1–D.6). Each award card shows image/icon; title; description; quantity; and prize value. Read-only.","on_click","Smooth scroll to target award card section.","","","","","completed"
"C","313:8459","カテゴリナビゲーション","Award Category Navigation Menu","Menu list","others","navigation","","","","","","","","","Left-side navigation listing 6 award categories: 'Top Talent'; 'Top Project'; 'Top Project Leader'; 'Best Manager'; 'Signature 2025 - Creator'; 'MVP'. Active item shown with gold color and underline indicator.","on_click","Active state: gold color + underline on selected item; scroll to target section.","","","","","completed"
"C.1","313:8460","トップタレント（ナビ）","Top Talent (navigation item)","Top talent","others","navigation_item","","","","","","","","","Navigation item 'Top Talent' with leading icon in category left menu.","on_click","Scroll to D.1 section; set C.1 as active state.","","","","","completed"
"C.2","313:8461","トッププロジェクト（ナビ）","Top Project (navigation item)","Top project","others","navigation_item","","","","","","","","","Navigation item 'Top Project' in category left menu.","on_click","Scroll to D.2 section; set C.2 as active state.","","","","","completed"
"C.3","313:8462","トッププロジェクトリーダー（ナビ）","Top Project Leader (navigation item)","Top Project leader","others","navigation_item","","","","","","","","","Navigation item 'Top Project Leader' in category left menu.","on_click","Scroll to D.3 section; set C.3 as active state.","","","","","completed"
"C.4","313:8463","ベストマネージャー（ナビ）","Best Manager (navigation item)","Best manager","others","navigation_item","","","","","","","","","Navigation item 'Best Manager' in category left menu.","on_click","Scroll to D.4 section; set C.4 as active state.","","","","","completed"
"C.5","313:8464","シグネチャー2025（ナビ）","Signature 2025 - Creator (navigation item)","Signature 2025","others","navigation_item","","","","","","","","","Navigation item 'Signature 2025 - Creator' in category left menu.","on_click","Scroll to D.5 section; set C.5 as active state.","","","","","completed"
