Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,70006b13-96c9-4b73-9a4b-969aee7c5e00,Add Link Modal,Check access condition,Authorized user access,,,"User is in the designated auth state (authorized, unauthorized, or lacking modal permission)",Authorized user; Unauthorized user; User without modal permission,"1. Attempt to open Add Link modal as an authorized user.
2. Attempt to open Add Link modal as an unauthorized user.
3. Attempt to open Add Link modal as a user without modal permission.","1. The Add Link modal displays normally.
2. Access is denied, trigger is hidden, or user is redirected to login.
3. Modal trigger is hidden or access is denied.",,,Access control and security,,,,
ACCESSING,1a55a427-be47-4dd0-97f9-4b4f09cc18a6,Add Link Modal,Check access condition,Authorized user access,,,Add Link modal is already open,Authorized user,"1. Open Add Link modal.
2. Attempt to open Add Link modal trigger again while it is already open.","1. ---
2. Only one modal instance remains open; no duplicate modals appear.",,,Access control and security,,,,
GUI,2efb76ce-b0ea-4f34-a7f5-8ac8b4d35336,Add Link Modal,Check layout,Modal dialog,Visibility and position,,The authorized user triggers the Add Link modal.,"Screen sizes: small, medium, large; Browsers: Chrome, Firefox, Edge","1. Open the Add Link modal.
2. Resize the browser window to different screen sizes.
3. Switch between browsers (Chrome, Firefox, Edge).","1. The modal dialog displays, centered with overlay; the underlying page is not interactable.
2. Modal maintains a centered position regardless of window size; no layout distortion.
3. Modal maintains consistent layout and position across all supported browsers.",,,User interface,,,,
GUI,e669b7ef-9a3c-4bff-bcf8-f425fea64bda,Add Link Modal,Check layout,Title label 'Add link',Visibility and position,,Add Link modal is open.,,"1. Observe the modal header area.
2. Locate the title label.","1. ---
2. Title ""Add link"" appears at the top center of the modal.",,,User interface,,,,
GUI,24d2a229-725c-43f2-ac61-33dfc46fd9e2,Add Link Modal,Check layout,Input field 'Text',Visibility and position,,Add Link modal is open.,,"1. Observe the area for the 'Text' input field.
2. Verify the input field size and position.","1. ---
2. 'Text' input field is visible, single-line, sized 672x56px, located below the ""Text"" label, and uses a white background with thin borders and rounded corners.",,,User interface,,,,
GUI,a98b51d4-4fd9-4288-9a28-ac670c83e5ab,Add Link Modal,Check layout,Label 'Text',Position left of input,,Add Link modal is open.,,"1. Locate the 'Text' label.
2. Check its relative position to its input field.","1. 'Text' label is present.
2. 'Text' label is displayed to the left of the 'Text' input field.",,,User interface,,,,
GUI,28793eb6-454a-4c08-a0c1-508c4a80944c,Add Link Modal,Check layout,Input field 'Link',Visibility and position,,Add Link modal is open.,,"1. Observe the area for the 'Link' input field.
2. Verify the input field size and position.","1. ---
2. 'Link' input field is visible, single-line, sized 672x56px, located below the ""Link"" label, with a subtle border.",,,User interface,,,,
GUI,96b032e1-0192-489e-91a3-7daa5756c47b,Add Link Modal,Check layout,Label 'Link',Position left of input,,Add Link modal is open.,,"1. Locate the 'Link' label.
2. Examine its position relative to its input field.","1. 'Link' label is present.
2. 'Link' label is positioned to the left of the 'Link' input field and is non-interactive.",,,User interface,,,,
GUI,abddef4b-90c7-4e76-b280-74bbb24c4885,Add Link Modal,Check layout,Button group,Position at bottom,,Add Link modal is open.,,"1. Observe the button group (Cancel/Hủy and Save/Lưu) in the modal.
2. Add content to the modal to cause vertical scrolling.
3. Scroll the modal page.","1. ---
2. ---
3. Button group remains anchored at the bottom of the modal throughout scrolling.",,,User interface,,,,
GUI,b13a3dcc-c3c8-4864-a8bd-6647c3cc9cec,Add Link Modal,Check layout,Button 'Hủy',Bordered with 'X' icon,,Add Link modal is open.,,"1. Locate the 'Hủy' button in the modal.
2. Observe styling and icon.","1. The 'Hủy' button displays a border and appears smaller than the 'Lưu' button.
2. The 'Hủy' button displays an 'X' icon.",,,User interface,,,,
