Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,ID-0,Viết Kudo,Check access permission,Modal access,Authenticated user,,Người dùng đã đăng nhập vào hệ thống,User: authenticated user,"1. Đăng nhập vào hệ thống
2. Điều hướng đến màn hình có nút/link ""Viết Kudo""
3. Click vào nút/link ""Viết Kudo""","Modal ""Viết Kudo"" mở thành công",,High,Access control and security,,,,
ACCESSING,ID-1,Viết Kudo,,,Unauthenticated user,,Người dùng chưa đăng nhập,User: unauthenticated user,"1. Truy cập vào hệ thống (không đăng nhập)
2. Cố gắng truy cập chức năng ""Viết Kudo""",Người dùng được chuyển hướng đến trang đăng nhập hoặc hiển thị thông báo yêu cầu đăng nhập,,High,Access control and security,,,,
ACCESSING,ID-2,Viết Kudo,Check navigation path,From other screens,Via button/link,,"Người dùng đã đăng nhập, đang ở màn hình có nút/link ""Viết Kudo""",Valid navigation path,"1. Đăng nhập vào hệ thống
2. Điều hướng đến màn hình nguồn
3. Click vào nút/link ""Viết Kudo""","Modal ""Viết Kudo"" hiển thị chính xác với tiêu đề và các trường đầy đủ",,Medium,Access control and security,,,,
GUI,ID-3,Viết Kudo,Check layout,Screen-wide layout,Overall structure,,Người dùng đã mở modal Viết Kudo,,"1. Mở modal Viết Kudo
2. Quan sát cấu trúc tổng thể
3. Kiểm tra vị trí các thành phần chính","Tiêu đề hiển thị ở đầu modal
Các trường hiển thị theo thứ tự: Người nhận, Textarea, Hashtag, Image, Checkbox gửi ẩn danh
Nút Hủy và Gửi ở footer bottom right",,High,Normal_Others,,,,
GUI,ID-4,Viết Kudo,Initialize,Trường tìm kiếm người nhận,Placeholder text,,Người dùng đã mở modal Viết Kudo,,"1. Mở modal Viết Kudo
2. Quan sát trường Người nhận
3. Kiểm tra placeholder","Placeholder ""Tìm kiếm"" hiển thị trong trường input",,Medium,Normal_Others,,,,
GUI,ID-5,Viết Kudo,,Trường nhập văn bản (textarea lời cảm ơn),Placeholder text,,Người dùng đã mở modal Viết Kudo,,"1. Mở modal Viết Kudo
2. Quan sát textarea
3. Kiểm tra placeholder","Placeholder ""Hãy gửi gắm lời cám ơn và ghi nhận đến đồng đội tại đây nhé!"" hiển thị",,Medium,Normal_Others,,,,
GUI,ID-6,Viết Kudo,,Checkbox gửi ẩn danh,Default value/state,,Người dùng đã mở modal Viết Kudo,,"1. Mở modal Viết Kudo
2. Quan sát checkbox ""Gửi lời cám ơn và ghi nhận ẩn danh""
3. Kiểm tra trạng thái mặc định",Checkbox unchecked (không được chọn) theo mặc định,,Medium,Normal_Others,,,,
FUNCTION,ID-7,Viết Kudo,Check data validation,Người nhận,Required field,,Modal Viết Kudo đã mở,Người nhận: empty,"1. Mở modal Viết Kudo
2. Để trống trường Người nhận
3. Nhập các trường khác hợp lệ
4. Click nút ""Gửi""","Hiển thị viền đỏ và thông báo lỗi cho trường Người nhận
Form không được submit",,High,Normal_Others,,,,
FUNCTION,ID-8,Viết Kudo,,,Autocomplete search,,Modal Viết Kudo đã mở,"Input: ""Nguyễn""","1. Mở modal Viết Kudo
2. Click vào trường Người nhận
3. Nhập ""Nguyễn"" vào trường tìm kiếm","Danh sách gợi ý hiển thị các tên có chứa ""Nguyễn""
Có thể chọn từ danh sách",,High,Normal_Others,,,,
FUNCTION,ID-9,Viết Kudo,,,,,Modal Viết Kudo đã mở,"Input: ""@ # $""","1. Mở modal Viết Kudo
2. Nhập ""@ # $"" vào trường Người nhận",Danh sách gợi ý lọc chính xác hoặc hiển thị không có kết quả,,Medium,Normal_Others,,,,
FUNCTION,ID-10,Viết Kudo,,,,,Modal Viết Kudo đã mở,"Input: ""  Nguyễn  "" (có spaces)","1. Mở modal Viết Kudo
2. Nhập ""  Nguyễn  "" vào trường tìm kiếm",Hệ thống trim khoảng trắng và hiển thị gợi ý chính xác,,Medium,Normal_Others,,,,
FUNCTION,ID-11,Viết Kudo,,Nội dung lời cảm ơn,Required field,,Modal Viết Kudo đã mở,Nội dung: empty,"1. Mở modal Viết Kudo
2. Chọn Người nhận hợp lệ
3. Để trống textarea
4. Thêm hashtag hợp lệ
5. Click ""Gửi""","Hiển thị lỗi ""Không được để trống""
Form không được submit",,High,Normal_Others,,,,
FUNCTION,ID-12,Viết Kudo,,,Mention functionality (@),,"Modal Viết Kudo đã mở, đã chọn Người nhận","Input: ""Cảm ơn @""","1. Mở modal Viết Kudo
2. Nhập vào textarea: ""Cảm ơn @""
3. Tiếp tục gõ tên","Hiển thị danh sách gợi ý tên đồng nghiệp
Có thể chọn để mention",,High,Normal_Others,,,,
FUNCTION,ID-13,Viết Kudo,,,,,Modal Viết Kudo đã mở,"Input: ""Cảm ơn @NguyenVanA""","1. Mở modal Viết Kudo
2. Nhập ""Cảm ơn @""
3. Chọn ""NguyenVanA"" từ gợi ý",Tên được mention chính xác trong textarea,,High,Normal_Others,,,,
FUNCTION,ID-14,Viết Kudo,,Hashtag,Required field,,Modal Viết Kudo đã mở,Hashtag: empty (0 tags),"1. Mở modal Viết Kudo
2. Chọn Người nhận và nhập nội dung hợp lệ
3. Không thêm hashtag nào
4. Click ""Gửi""","Hiển thị lỗi ""Không được để trống""
Form không được submit",,High,Normal_Others,,,,
FUNCTION,ID-15,Viết Kudo,,,Minimum 1 tag,,Modal Viết Kudo đã mở,Hashtag: 1 tag valid,"1. Mở modal Viết Kudo
2. Điền các trường bắt buộc khác
3. Click ""+ Hashtag""
4. Thêm 1 hashtag
5. Click ""Gửi""","Hashtag được thêm thành công
Form submit thành công",,High,Normal_Others,,,,
FUNCTION,ID-16,Viết Kudo,,,Maximum 5 tags,,Modal Viết Kudo đã mở,Hashtag: 5 tags valid,"1. Mở modal Viết Kudo
2. Click ""+ Hashtag""
3. Thêm 5 hashtag lần lượt","5 hashtag được thêm thành công
Nút ""+ Hashtag"" vẫn hiển thị hoặc disabled (theo spec)",,High,Normal_Others,,,,
FUNCTION,ID-17,Viết Kudo,,,,,"Modal Viết Kudo đã mở, đã có 5 hashtag",Hashtag: 6th tag,"1. Mở modal Viết Kudo
2. Thêm 5 hashtag
3. Cố gắng thêm hashtag thứ 6","Hiển thị thông báo ""Tối đa 5 hashtag""
Không thể thêm hashtag thứ 6",,High,Abnormal_Others,,,,
FUNCTION,ID-18,Viết Kudo,,Image upload,Maximum 5 images,,Modal Viết Kudo đã mở,Image: 3 ảnh .jpg hợp lệ,"1. Mở modal Viết Kudo
2. Click ""+ Image""
3. Chọn 3 ảnh hợp lệ","3 ảnh được upload và hiển thị thumbnail
Nút ""+ Image"" vẫn hiển thị",,High,Normal_Others,,,,
