"No","itemId","nameJP","nameTrans","itemName","itemType","itemSubtype","buttonType","dataType","required","format","minLength","maxLength","defaultValue","validationNote","description","userAction","transitionNote","databaseTable","databaseColumn","databaseNote","qa","spec_progress"
"A","2940:13437","KV Kudos","Banner KV Kudos","mms_A_KV Kudos","others","hero","","","false","","","","","","Banner đầu trang: tiêu đề 'Hệ thống ghi nhận lời cảm ơn', bên dưới là logo SAA 2025 KUDOS  Display:  - Tiêu đề: text lớn, nổi bật - Nền: đồ họa trang trí  Function:  - Readonly","","","","","","","completed"
"A.1","2940:13449","Button ghi nhận","Ô nhập/Ghi nhận (mở form gửi lời cảm ơn)","mms_A.1_Button ghi nhận","text_form","","","string","true","","","","","","Thanh nhập để mở dialog nhập lời cảm ơn. Tất cả những lời cảm ơn hay còn gọi là kudos sau khi gửi hệ thống sẽ được lưu trữ lại trong database.  Display:   - Ô nhập: text field (kiểu pill) với placeholder 'Hôm nay, bạn muốn gửi lời cảm ơn và ghi nhận đến ai?'   - Icon: biểu tượng bút ở bên trái  Function: - Click: Mở dialog gửi lời cảm ơn","","","","","","","completed"
"B","2940:13451","Highlight","Mục HIGHLIGHT KUDOS","mms_B_Highlight","others","carousel","","","false","","","","","","Khu vực hiển thị các kudos nổi bật trong sự kiện. Đây là TOP những kudos có nhiều lượt thả tim nhất xuyên suốt sự kiện.  Display:   - Header: Văn bản - 'Sun* Annual Awards 2025' và 'HIGHLIGHT KUDOS'   - Filters: Buttons - 'Hashtag', 'Phòng ban'   - Carousel: card gồm thông tin người gửi, thông tin người nhận, thời gian đăng tải, nội dung lời cảm ơn, danh sách hashtag, số tim, button copy link và Xem chi tiết   - Navigation: Mũi tên trái/phải và pagination '2/5'  Function: - Click mũi tên: chuyển slide tiếp/ trước - Click 'Xem chi tiết': mở trang chi tiết kudos - Click heart: thay đổi tăng giảm số tim và đổi trạng thái active - Click 'Copy Link': sao chép link và hiển thị toast 'Link copied — ready to share!' - Click filter: lọc danh sách (cả phần Highlight Kudos và All Kudos), cập nhật carousel và đặt pagination về 1  State: - Slide hiện tại hiển thị nổi bật ở center, 2 bên để mờ; mũi tên disabled ở hai đầu khi không còn slide","","","kudos","","","","completed"
"B.1","2940:13452","header","Tiêu đề phần 'HIGHLIGHT KUDOS' với bộ lọc","mms_B.1_header","others","section_header","","","false","","","","","","Tiêu đề phần hiển thị 'HIGHLIGHT KUDOS' kèm subtitle và bộ lọc.  Display:   - Subtitle: 'Sun* Annual Awards 2025' - văn bản nhỏ   - Title: 'HIGHLIGHT KUDOS' - chữ lớn, nổi bật   - Bộ lọc: hai dropdown 'Hashtag', 'Phòng ban' - nút mở menu  Function: - Phần title và subtitle: readonly - Click dropdown: mở menu lựa chọn - Chọn lọc: lọc nội dung tương ứng (cả phần highlight kudos và all kudos) - State: dropdown hiển thị trạng thái active option khi đã chọn","","","","","","","completed"
"B.1.1","2940:13459","ButtonHashtag","Nút lọc 'Hastag'","mms_B.1.1_ButtonHashtag","button","","icon_text","","false","","","","","","Nút mở menu 'Hashtag' để chọn tag, dùng để lọc nội dung. Danh sách hashtag được truy vấn từ cơ sở dữ liệu.  Function: - Click: Mở dropdown - Select: Chọn tag để lọc các kudos theo hashtag","on_click","","","","","","completed"
"B.1.2","2940:13460","Button Phong ban","Nút 'Phòng ban'","mms_B.1.2_Button Phong ban","button","","icon_text","","false","","","","","","Nút mở menu 'Phòng ban' để chọn tag, dùng để lọc nội dung. Danh sách phòng ban sẽ được truy vấn từ cơ sở dữ liệu.  Function: - Click: Mở dropdown - Select: Chọn Phòng ban để lọc","on_click","","","","","","completed"
"B.2","2940:13461","HIGHLIGHT KUDOS","Kudos Nổi Bật","mms_B.2_HIGHLIGHT KUDOS","others","carousel","","","false","","","","","","Carousel 'HIGHLIGHT KUDOS' hiển thị 5 card kudos có nhiều tim nhất  Display:  - Carousel: card gồm thông tin người gửi, thông tin người nhận, thời gian đăng tải, nội dung lời cảm ơn, danh sách hashtag, số tim, button copy link và Xem chi tiết  Function:  - Click mũi tên: chuyển slide tiếp/ trước - Click 'Xem chi tiết': mở trang chi tiết kudos - Click heart: thay đổi tăng giảm số và đổi trạng thái active. - Click 'Copy Link': sao chép link và hiển thị toast 'Link copied — ready to share!' State: - Slide hiện tại hiển thị nổi bật ở center, 2 bên để mờ; mũi tên disabled ở hai đầu khi không còn slide","","","","","","","completed"
"B.2.1","2940:13470","Button tiến","Nút Tiến (Next)","mms_B.2.1_Button lùi","button","","icon_text","","false","","","","","","Nút 'lùi' tròn (icon chevron-right) để điều hướng carousel Highlight Kudos.  Function: - Click: Chuyển carousel sang card trước đó - Trường hợp đang ở page 1 (card đầu tiên) thì disable nút này","","","","","","","completed"
"B.2.2","2940:13468","Nút lùi","Nút lùi (nút điều hướng về trước)","mms_B.2.2_Button tiến","button","","icon_text","","false","","","","","","Nút điều hướng tiến trong khu vực 'HIGHLIGHT KUDOS'.  Function: - Click: Trượt carousel sang item tiếp theo - Trường hợp ở trang 5 (card thứ 5) thì disable nút này","","","","","","","completed"
"B.2.3","2940:13463","content HIghlight KUDO","Nội dung Highlight Kudos","mms_B.2.3_content HIghlight KUDO","others","carousel","","","false","","","","","","Carousel 'HIGHLIGHT KUDOS' hiển thị 5 card kudos có nhiều tim nhất trong suốt sự kiện.  Display:   - Carousel: card gồm thông tin người gửi, thông tin người nhận, thời gian đăng tải, nội dung lời cảm ơn, danh sách hashtag, số tim, button copy link và Xem chi tiết  Function: - Click mũi tên: chuyển slide tiếp/ trước - Click 'Xem chi tiết': mở trang chi tiết kudos - Click heart: tăng số và đổi trạng thái active - Click 'Copy Link': sao chép link và hiển thị toast 'Link copied — ready to share!' State: - Slide hiện tại hiển thị nổi bật ở center, 2 bên để mờ; mũi tên disabled ở hai đầu khi không còn slide","","","kudos","","","","completed"
