Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,TC_WEB_PROFILE_ACC_001,[Web] Profile,Check access permission,Page access,Unauthenticated user,"An unauthenticated visitor must not reach the profile page, because /profile is a private route (absent from PUBLIC_ROUTES in proxy.ts) unlike the public /kudos board.",No active session (signed out).,URL: /profile,"1. Clear cookies.
2. Navigate to /profile.","The user is redirected to /login. No profile content, name, department or Kudos counters are rendered at any point.",Yes,High,Access control and security,,,,"The page also re-checks the session itself as defense in depth, so this holds even if the proxy route list is edited."
ACCESSING,TC_WEB_PROFILE_ACC_002,[Web] Profile,Check access permission,Page access,Authenticated user,A signed-in Sunner opening /profile with no query string sees their OWN profile.,Signed in as a Sunner with a roster profile row.,URL: /profile,"1. Sign in.
2. Navigate to /profile with no query string.","The page renders the signed-in Sunner's own profile: their avatar, full name, department, Hero tier badge and hoa-thi stars in the keyvisual hero; the badge collection; the personal statistics card; and the KUDOS section.",Yes,High,Access control and security,,,,
FUNCTION,TC_WEB_PROFILE_FUN_001,[Web] Profile,Route resolution,Target profile,Another Sunner,"/profile?id={profileId} renders THAT Sunner's profile, which is the link the live board already emits when a name is clicked.",Signed in. A second Sunner exists on the roster with at least one received Kudo.,URL: /profile?id={other profile uuid},"1. Sign in as Sunner A.
2. Navigate to /profile?id={Sunner B's profile id}.","The hero shows Sunner B's avatar, name, department, Hero tier and hoa-thi stars. The page is Sunner B's profile, not Sunner A's.",Yes,High,Normal,,,,Source of the link: app/kudos/use-board-interactions.ts -> openProfile.
FUNCTION,TC_WEB_PROFILE_FUN_002,[Web] Profile,Route resolution,Target profile,Self id canonicalization,"An ?id that names the viewer themselves must canonicalize to the SELF view, so copying your own profile link does not show you a stranger's version of your own page.","Signed in as Sunner A, who knows their own profile id.",URL: /profile?id={own profile uuid},"1. Sign in as Sunner A.
2. Navigate to /profile?id={Sunner A's own profile id}.","The page renders the SELF view, identical to /profile with no query string: the statistics card is shown (not a write-Kudo bar), the badge heading is the first-person variant, and the KUDOS dropdown offers both directions.",No,High,Abnormal,,,,Recorded as an assumption in the plan's clarifications.md.
FUNCTION,TC_WEB_PROFILE_FUN_003,[Web] Profile,Route resolution,Target profile,Unknown id,"An ?id that is a well-formed UUID but matches no profile returns 404, not a server error.",Signed in.,URL: /profile?id=99999999-9999-4999-8999-999999999999,"1. Sign in.
2. Navigate to /profile with a syntactically valid UUID that belongs to no profile.","The 404 page is shown. No 500, no unhandled error, no partially rendered profile.",No,High,Abnormal,,,,
FUNCTION,TC_WEB_PROFILE_FUN_004,[Web] Profile,Route resolution,Target profile,Malformed id,"A malformed ?id must be rejected before it reaches the database, since a non-UUID sent to a uuid column raises Postgres 22P02 and would otherwise surface as a 500.",Signed in.,URLs: /profile?id=banana ; /profile?id=' or 1=1 ; /profile?id=42 ; /profile?id=11111111-1111-4111-8111 (truncated),"1. Sign in.
2. Navigate to /profile with each malformed id in turn.",Every case returns the 404 page. No 500 and no database error text is ever shown.,No,High,Access control and security,,,,The id is shape-checked against a canonical UUID pattern before any query is issued.
FUNCTION,TC_WEB_PROFILE_FUN_005,[Web] Profile,Route resolution,Target profile,Empty and repeated id,"An empty ?id means 'no id' (the self view), while a REPEATED ?id is refused rather than having one value silently picked.",Signed in.,URLs: /profile?id= ; /profile?id={idA}&id={idB},"1. Navigate to /profile?id= (empty value).
2. Navigate to /profile?id={idA}&id={idB} with two different ids.","Step 1 renders the viewer's own profile (a cleared query string is not an error). Step 2 returns 404 — two different ids in one request is not a page that was asked for, and choosing one would hide the mistake.",No,Medium,Abnormal,,,,
GUI,TC_WEB_PROFILE_GUI_001,[Web] Profile,Check display,Keyvisual hero,Own profile,"The hero renders the keyvisual banner with the viewer's avatar, name, department, Hero tier badge and hoa-thi stars, per mms_A / A.1 / A.2 / A.3 and mms_3_Keyvisual.","Signed in as a Sunner with a department, at least 1 distinct sender and at least 10 received Kudos.",,"1. Navigate to /profile.
2. Inspect the hero block.","The keyvisual artwork banner is shown. Below it: the circular avatar, the full name in gold, then the department, the Hero tier badge and the hoa-thi stars on one row. The banner shows artwork only — no duplicated navigation bar and no second avatar or name ghosted behind the live ones.",Yes,High,Normal,,,,"Hero tier is keyed on DISTINCT SENDERS; hoa-thi stars on TOTAL Kudos received (10/20/50). Two different denominators, deliberately."
GUI,TC_WEB_PROFILE_GUI_002,[Web] Profile,Check display,Badge collection,All slots locked,"The badge collection shows all 6 slots (B2-B7) greyed out, using the real badge artwork desaturated rather than blank placeholders, because the Secret Box that awards them is deferred.",Signed in.,,"1. Navigate to /profile.
2. Inspect the badge row below the hero.","Exactly 6 badge circles are rendered, in the design's fixed order, each showing its real badge image desaturated/greyed. No slot appears unlocked and no slot is hidden.",Yes,Medium,Normal,,,,"Driven by an unlocked-badge list that is always empty today, so the slots light up later with no reshaping."
GUI,TC_WEB_PROFILE_GUI_003,[Web] Profile,Check display,Badge collection,Heading per view,"The badge-row heading is first-person on your own profile and neutral on someone else's, since the possessive would be wrong above another person's badges.",Signed in. A second Sunner exists.,,"1. Navigate to /profile and read the badge heading.
2. Navigate to /profile?id={other} and read it again.",Step 1 shows the first-person heading (VN 'Bo suu tap icon cua toi' / EN 'My icon collection'). Step 2 shows the neutral heading (VN 'Bo suu tap icon' / EN 'Icon collection').,No,Medium,Normal,,,,"Both keys ship in locales/{vi,en}/profile.json; a parity test asserts they stay distinct."
