Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,84a5ba82-f946-415a-b55f-8f2c8836fbb5,Secret Box Success Modal,Check access condition,Authorized user only,Entitled to open Secret Boxes,,User is (or is not) logged in; entitlement and unopened Secret Boxes vary.,"1. Entitled/logged-in user with unopened Secret Boxes
2. Logged-in user without entitlement
3. Unauthenticated user
4. Entitled/logged-in user with 0 unopened Secret Boxes","1. Attempt to open the Secret Box Success Modal as an entitled and logged-in user with unopened Secret Boxes.
2. Attempt as a logged-in user without entitlement.
3. Attempt as an unauthenticated user.
4. Attempt as an entitled and logged-in user with 0 unopened Secret Boxes.","1. The modal opens only for entitled, logged-in users with unopened Secret Boxes.
2. The modal does not open; access is denied, unavailable, or the user is redirected.
3. The modal does not open; access is denied, unavailable, or the user is redirected.
4. The modal does not open; access is denied, unavailable, or the user is redirected.",,,Access control and security,,,,
GUI,1f381999-24ce-4d42-881e-b2abdae2ece5,Secret Box Success Modal,Check layout,Modal title,Visibility and position,,The Secret Box Success Modal is open on various devices.,,"1. Open the modal on desktop and mobile devices.
2. Observe the title area.
3. Check the visual alignment and ensure nothing overlaps the title.
4. Resize the window or rotate the device orientation.","1. ---
2. The modal's title is centered at the top, fully visible, and matches the Spec ('MỞ SECRET BOX THÀNH CÔNG').
3. The title is not overlapped or cut off on any device.
4. The title remains centered and visible across different screen sizes.",,,User interface,,,,
GUI,d9d6e01a-7310-4643-a90e-a4fc89bc97d9,Secret Box Success Modal,Check layout,Instructional text,Display condition,,The Secret Box Success Modal is open with varying numbers of unopened boxes.,"1. Unopened box count > 0
2. Unopened box count = 0","1. Open the modal with unopened box count greater than 0.
2. Observe the instructional text area.
3. Open the modal with unopened box count equal to 0.
4. Observe the instructional text area.","1. ---
2. Instructional text is visible ('Click vào box để tiếp tục mở').
3. ---
4. Instructional text is hidden when unopened box count is 0.",,,User interface,,,,
GUI,dd842531-11c7-4a9b-8d14-037d3858f68a,Secret Box Success Modal,Check layout,Box image,Central position,,The Secret Box Success Modal is open with various screen sizes.,,"1. Open the modal with different screen resolutions.
2. Locate the box image ('C.Box image/Khung minh họa hộp quà mở').
3. Check its horizontal and vertical alignment.
4. Resize the browser window and/or rotate device.","1. ---
2. The box image is centered in the modal.
3. The aspect ratio is correct and there is no distortion.
4. The box image remains centered and proportioned on all screen sizes.",,,User interface,,,,
GUI,56da7ec8-5f02-450c-ada4-180ca35dbe55,Secret Box Success Modal,Check layout,Badge image,Visibility inside box image,,The modal is open after a box is opened.,"Each badge type: Stay Gold, Flow to Horizon, Beyond the Boundary, Root Further, Touch of Light, Revival","1. For each badge type, set the type as the reward and open the modal.
2. Observe the badge image displayed inside the box area.
3. Check that the badge is clear and visually distinct with no overlap or loss of detail.","1. ---
2. The correct badge image is displayed inside the box, clear and not obstructed.
3. All badge types are visually distinct without overlap or detail loss.",,,User interface,,,,
GUI,3a8ac6b5-e361-4f10-83d3-8316d28c5f5e,Secret Box Success Modal,Check layout,Unopened box counter,Label and number display,,Modal is open and there are unopened boxes (>0).,,"1. Open the modal.
2. Look at the bottom of the modal to locate the unopened box counter label and number.
3. Try to interact with the label/number area.","1. ---
2. The label 'Secretbox chưa mở' (small, white) and the unopened box count (large, bold, yellow) are visible and styled correctly. The label text displays as 'Secretbox chưa mở' (Secretbox chưa mở).
3. The counter area is not interactive—no focus or cursor appears.",,,User interface,,,,
GUI,632c600b-fcb8-47c6-b41b-5d86d9912e77,Secret Box Success Modal,Check layout,Modal close button,Position and visibility,,Modal is open on all device sizes.,,"1. Open the modal on desktop and mobile devices.
2. Locate the close button ('X') at the top right.
3. Check that the button is always visible.
4. Verify that nothing obstructs the close button.","1. ---
2. The close button is at the top right of the modal.
3. The button is clearly visible on all devices.
4. The close button is not obstructed by other UI elements.",,,User interface,,,,
GUI,a0cd2f27-67c0-4dc3-b781-5ef03ae9c2ed,Secret Box Success Modal,Initialize,Modal title,Correct static text,,The modal is opened after a box is triggered.,,"1. Open the modal.
2. Observe the title at the top of the modal.","1. ---
2. The modal displays the exact static text: 'MỞ SECRET BOX THÀNH CÔNG' (MỞ SECRET BOX THÀNH CÔNG).",,,User interface,,,,
GUI,a891383a-cbc3-496f-b1e1-aad4b8077db3,Secret Box Success Modal,Initialize,Instructional text,Conditional display on unopened boxes,,The modal is open; unopened boxes > 0.,,"1. Open the modal with unopened box count greater than 0.
2. Observe the instructional text area.","1. ---
2. The instructional text 'Click vào box để tiếp tục mở' (Click vào box để tiếp tục mở) is displayed.",,,User interface,,,,
GUI,4bbf0b67-deee-47a5-b9cb-afd22deb9421,Secret Box Success Modal,Initialize,Box image,Initial badge display,,Modal is open after a box is opened with a valid badge assigned.,,"1. Open the modal immediately after receiving a badge.
2. Observe the box image area.","1. ---
2. The correct badge image for the assigned badge is displayed inside the box illustration.",,,User interface,,,,
